,id,name,artists,duration_s,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,Year_dt
0,4BhwlQ9mTwhFGXpQvP9JTV,Lil Jimmy Skit,Kanye West,53.64,2/10/04,2004,0.803,0.64,0.279,0.0,0.375,-12.396,0.484,82.475,0.741,1,10,46,1,2004-01-01
2,7r6PigmGzlB3YPB7wvBBbi,No Church In The Wild,Kanye West,272.507,8/8/11,2011,0.244,0.654,0.75,0.0178,0.167,-7.509,0.105,92.773,0.557,0,8,55,1,2011-01-01
3,5zes2uxTNuqNlO6toDTZN5,Primetime,Kanye West,199.24,8/8/11,2011,0.166,0.662,0.923,9.64e-06,0.31,-4.085,0.21,84.99,0.469,0,11,51,1,2011-01-01
4,7eW9cHOAHmYqphs5tWXETw,Clique,Kanye West,293.613,1/1/12,2012,0.0601,0.71,0.555,0.0,0.227,-5.942,0.295,109.204,0.303,0,9,49,1,2012-01-01
5,0FZmAvivvifvtN3pZScbw1,Drunk in Love Remix (feat. Jay-Z & Kanye West),Kanye West,395.987,11/24/14,2014,0.161,0.514,0.763,0.0,0.118,-3.58,0.052,139.748,0.474,0,10,57,1,2014-01-01
6,3MnbXlC1N7GdS9M8HzA6no,Facts (Charlie Heat Version),Kanye West,200.733,6/10/16,2016,0.0518,0.777,0.662,0.0,0.168,-3.761,0.143,142.059,0.4,0,1,60,1,2016-01-01
7,5FlmoOiXokZHJvESrFbsyg,MAMA,Kanye West,192.405,11/27/18,2018,0.0893,0.761,0.672,9.77e-06,0.14,-5.887,0.212,160.077,0.437,1,1,68,1,2018-01-01
8,6xcz5MXwY36hItZg5PZj78,"Confessions Part II Remix (feat. Shyne, Twista & Kanye West)",Kanye West,268.933,3/23/04,2004,0.213,0.834,0.485,0.0,0.137,-10.29,0.369,138.078,0.635,1,1,45,0,2004-01-01
9,2QK4nswjBvmwBXTOLFodDA,Flashing Lights,Kanye West,237.44,9/11/07,2007,0.0316,0.643,0.623,0.0,0.405,-7.605,0.0391,90.486,0.436,0,6,45,0,2007-01-01
10,0fjUmA3EdEZBBVyKNhsct0,The Joy,Kanye West,317.92,8/8/11,2011,0.146,0.584,0.516,3.07e-05,0.139,-6.256,0.325,79.743,0.326,1,7,51,1,2011-01-01
11,0n0HybfiBU3YDQNVtWugtm,I Wish You Would,Kanye West,237.347,1/1/12,2012,0.0497,0.705,0.873,0.0,0.342,-1.311,0.0504,141.973,0.619,1,5,49,1,2012-01-01
12,4UaWrzY75h1tAvlxa4NKP9,Blessings - Extended Version,Kanye West,301.96,2/3/15,2015,0.292,0.645,0.606,0.0,0.129,-8.074,0.512,118.8,0.121,0,10,56,1,2015-01-01
13,5H25xsIuRWUI8GwcoAoeSG,Piss On Your Grave (feat. Kanye West),Kanye West,166.32,9/4/15,2015,0.00793,0.554,0.54,1.05e-06,0.158,-5.687,0.0905,116.877,0.162,1,1,57,1,2015-01-01
15,6wfzokDylbrJzrJcpnBkcy,Freestyle 4,Kanye West,123.387,6/10/16,2016,0.0449,0.564,0.537,0.0,0.0907,-8.381,0.095,126.036,0.459,0,9,59,1,2016-01-01
16,0oPOuDmmkVp3h6puekhs6P,Use This Gospel,Kanye West,213.878,10/25/19,2019,0.614,0.611,0.459,0.0,0.126,-3.926,0.0422,148.28,0.177,0,0,66,0,2019-01-01
17,7Ct3wqpGLbNrrG617S00B3,No Church In The Wild,Kanye West,272.507,8/8/11,2011,0.244,0.654,0.751,0.0179,0.167,-7.508,0.105,92.774,0.568,0,8,46,1,2011-01-01
18,14I61w6cyYUHiV2n28IYdP,Otis,Kanye West,178.213,8/8/11,2011,0.552,0.754,0.631,0.0,0.5,-4.751,0.307,94.577,0.432,0,7,53,1,2011-01-01
19,4HWQexsnWXsAKBJp52hU4G,Illest Motherf**ker Alive,Kanye West,503.32,8/8/11,2011,0.171,0.553,0.663,1.64e-06,0.595,-6.412,0.0837,139.979,0.299,1,11,51,1,2011-01-01
20,0j35X8cTq543QDYLOyqB8W,Only One,Kanye West,280.227,1/8/15,2015,0.939,0.732,0.243,0.0,0.111,-6.023,0.0435,102.087,0.106,1,0,58,0,2015-01-01
21,39JRmdKFka1Oe09FoOCPI4,Selah,Kanye West,164.62,10/25/19,2019,0.647,0.482,0.618,0.000859,0.32,-5.673,0.197,90.076,0.146,0,9,66,0,2019-01-01
22,2SasoXZyv82yYgHiVOvxQn,On God,Kanye West,136.351,10/25/19,2019,0.0671,0.41,0.886,0.0,0.461,-4.413,0.155,72.577,0.393,0,9,66,0,2019-01-01
23,24bnCCysWnbNRNUT4LpHcP,Everything We Need,Kanye West,116.56,10/25/19,2019,0.312,0.894,0.416,0.0,0.146,-6.823,0.0538,116.96,0.463,0,9,66,0,2019-01-01
25,3r4U9UpHaFurMtq1oCZoAp,Number One,Kanye West,236.573,1/1/06,2006,0.251,0.845,0.801,0.0,0.0951,-5.619,0.129,107.012,0.666,0,10,48,1,2006-01-01
26,2l7njxIZf3LEN9k061vcYa,Good Life,Kanye West,206.84,9/11/07,2007,0.00274,0.399,0.745,0.0,0.514,-7.903,0.362,170.614,0.449,1,1,43,0,2007-01-01
27,4CFSOgSsTMe2M6AJoPddFt,American Boy,Kanye West,237.747,1/1/09,2009,0.0787,0.714,0.689,0.0,0.427,-5.588,0.388,117.03,0.661,0,4,43,0,2009-01-01
28,76mzio0HuYMaCfIDd5EU1w,POWER - Album Version (Edited),Kanye West,292.093,1/1/10,2010,0.0138,0.534,0.925,0.0,0.709,-4.945,0.14,154.072,0.557,0,0,44,0,2010-01-01
29,1auxYwYrFRqZP7t3s7w4um,Ni**as In Paris,Kanye West,219.333,8/8/11,2011,0.127,0.789,0.858,0.0,0.349,-5.542,0.311,140.022,0.775,1,1,56,1,2011-01-01
30,7fQmDkqrrj13kxv4Vle3AM,Ni**as In Paris,Kanye West,219.333,8/8/11,2011,0.127,0.788,0.859,0.0,0.348,-5.542,0.315,140.027,0.769,1,1,45,1,2011-01-01
31,0nLcWJB4ir9430ulKxZZhV,Otis,Kanye West,178.213,8/8/11,2011,0.552,0.755,0.631,0.0,0.5,-4.751,0.302,94.571,0.433,0,7,45,1,2011-01-01
32,6oHpLl0XdlbYJuGLDiREfe,The Bounce,Kanye West,258.56,11/12/02,2002,0.485,0.593,0.676,0.0,0.062,-5.631,0.393,95.343,0.66,1,0,41,1,2002-01-01
33,7LJQOdmw1Z1j3c4vSnIztp,Can't Tell Me Nothing,Kanye West,271.76,9/11/07,2007,0.0128,0.592,0.616,0.0,0.689,-6.139,0.0534,80.041,0.0892,0,5,43,0,2007-01-01
34,4mnVTZqDC2fy2Sh1ooKEse,Homecoming - (Explicit),Kanye West,203.92,1/1/08,2008,0.36,0.671,0.74,0.0,0.118,-7.067,0.186,86.932,0.908,1,1,42,1,2008-01-01
35,7zbDSQelDmlaEhUDnLMViZ,All Of The Lights - Album Version (Edited),Kanye West,299.6,1/1/10,2010,0.0632,0.547,0.794,4.88e-05,0.196,-3.28,0.0596,142.138,0.243,1,1,44,0,2010-01-01
36,39RWgrQOBCLQH88wy0TBm9,Sanctified,Kanye West,289.627,1/1/14,2014,0.0754,0.739,0.52,0.0,0.382,-6.301,0.0679,126.037,0.247,1,9,50,1,2014-01-01
37,36o4taPyOdnOMf01ERmn9a,Low Lights,Kanye West,131.773,6/10/16,2016,0.706,0.603,0.593,0.0,0.121,-4.685,0.109,101.956,0.523,1,7,57,1,2016-01-01
38,1nGoy0cEj0extAwXYNYTWd,Wouldn't Leave,Kanye West,205.547,6/1/18,2018,0.495,0.556,0.432,0.0,0.308,-8.551,0.545,164.235,0.352,1,3,63,1,2018-01-01
39,3zXhvJaLpxefYIxBE0cnB0,Skit #4,Kanye West,78.667,9/30/05,2005,0.0411,0.722,0.258,0.0,0.148,-19.633,0.873,118.732,0.141,0,10,42,1,2005-01-01
40,3zQGmJ4k3JeqwAjfrEcwHp,Number One (feat. Kanye West),Kanye West,198.0,12/6/05,2005,0.0105,0.687,0.843,0.0,0.0957,-5.65,0.204,87.911,0.77,0,2,45,0,2005-01-01
41,52uU5uNt9lOstGCc6C7QEJ,"The Good, The Bad, The Ugly - Explicit Album Version",Kanye West,251.907,3/6/07,2007,0.0271,0.473,0.913,0.0,0.0784,-3.372,0.444,94.571,0.721,0,11,41,1,2007-01-01
42,6JFLZH9vCzgqnUToBdiHQb,Gotta Have It,Kanye West,140.747,8/8/11,2011,0.411,0.74,0.574,0.0,0.262,-6.938,0.245,149.762,0.33,1,4,44,1,2011-01-01
43,6xRWoYwfwIKnT8bQGzKbxR,God Is,Kanye West,203.141,10/25/19,2019,0.34,0.656,0.637,0.0,0.187,-3.867,0.0256,105.037,0.267,1,1,64,0,2019-01-01
44,6tvOzCdhzkrJo3ASWwbSPZ,Talk About Our Love (feat. Kanye West),Kanye West,214.96,2004,2004,0.404,0.511,0.589,0.0,0.485,-6.179,0.235,100.814,0.757,0,5,43,0,2004-01-01
45,6EqeUVOActferoRMoSzHgR,Stay Up! (Viagra),Kanye West,189.36,11/11/08,2008,0.0359,0.773,0.513,0.0,0.347,-6.742,0.319,90.507,0.474,1,1,44,1,2008-01-01
46,1tta4aktfa50BLaCttgl1T,Ego (feat. Kanye West) - Remix,Kanye West,283.933,6/16/09,2009,0.0989,0.574,0.421,0.0,0.0568,-5.443,0.174,78.781,0.341,1,1,41,1,2009-01-01
47,6EC5hHjYlwVmj8cpjSjJWA,"Deuces Remix (feat. Drake, T.I., Kanye West, Fabolous, Rick Ross & André 3000)",Kanye West,403.787,6/25/10,2010,0.292,0.657,0.641,0.0,0.0883,-5.152,0.295,148.261,0.256,1,1,46,1,2010-01-01
48,0yhxBvedRdGxsPZHJNI4VA,I Thought About Killing You,Kanye West,274.187,6/1/18,2018,0.867,0.752,0.396,0.0,0.0486,-7.932,0.411,116.016,0.417,1,2,61,1,2018-01-01
49,2kH3RZN9KdGBj1c1jL3GjO,Jesus Walks,Kanye West,193.733,2/10/04,2004,0.571,0.623,0.839,0.0,0.293,-4.725,0.391,87.277,0.689,1,6,40,0,2004-01-01
50,1PSOEWhJXNJ0NpjgedMqZ6,Maybach Music 2,Kanye West,299.867,1/1/09,2009,0.0716,0.335,0.769,0.0,0.322,-6.844,0.377,77.275,0.334,0,4,43,1,2009-01-01
51,4GL8l2w8FmIVFOJFPStfWI,Hate,Kanye West,151.427,9/8/09,2009,0.242,0.738,0.775,0.0,0.637,-2.597,0.283,119.989,0.75,1,6,44,1,2009-01-01
52,2aqe2NgAwmMlPgtf1MnGoy,Gotta Have It,Kanye West,140.747,8/8/11,2011,0.411,0.74,0.574,0.0,0.262,-6.938,0.245,149.762,0.33,1,4,49,1,2011-01-01
53,30CZcZ0NpTXjVJJa5X5nwf,All Your Fault,Kanye West,224.387,2/24/15,2015,0.308,0.814,0.737,0.0,0.275,-4.395,0.213,100.095,0.547,0,5,52,1,2015-01-01
54,6JaZq3nkVcQTRLqil3RPoe,Finer Things,Kanye West,252.827,1/1/08,2008,0.101,0.708,0.59,0.0,0.221,-7.19,0.0714,100.997,0.183,1,2,42,1,2008-01-01
55,2wDz70kiUyVKNSusLt7CNL,Forever,Kanye West,357.347,1/1/09,2009,0.234,0.469,0.931,0.0,0.208,-1.351,0.365,106.249,0.527,0,5,40,0,2009-01-01
56,5TvbwJP6gEq3dKtdYxZRRh,Alors On Danse,Kanye West,213.52,2010,2010,0.152,0.744,0.789,6.96e-05,0.269,-5.913,0.0661,119.918,0.742,0,1,45,0,2010-01-01
57,35KV2Nuib6jPMVN00O8iba,No Mistakes,Kanye West,123.04,6/1/18,2018,0.0393,0.643,0.646,0.0,0.109,-2.442,0.0629,80.174,0.35,0,10,61,1,2018-01-01
58,4QKMuKPhCK8Aji8MaeJL4T,"Deuces Remix (feat. Drake, Kanye West & André 3000)",Kanye West,338.92,6/25/10,2010,0.317,0.72,0.649,0.0,0.0886,-5.187,0.239,147.941,0.243,0,5,45,1,2010-01-01
59,0nh1o1936u4X7MaatN56j8,Mercy.1 - Album Version (Edited),Kanye West,326.28,1/1/12,2012,0.0514,0.553,0.57,0.000102,0.424,-7.82,0.422,140.162,0.454,0,6,44,0,2012-01-01
60,4eOJxoVUcN0kFX3ymAoREV,Cold,Kanye West,219.507,1/1/12,2012,8.82e-05,0.425,0.686,0.0,0.281,-8.213,0.134,106.699,0.469,0,4,46,1,2012-01-01
61,5SkRLpaGtvYPhw02vZhQQ9,All Falls Down,Kanye West,223.507,2/10/04,2004,0.149,0.657,0.734,0.0,0.139,-4.832,0.484,91.03,0.434,0,8,72,1,2004-01-01
62,5g1vtHqi9uV7xtYeCcFOBx,Jesus Walks,Kanye West,193.733,2/10/04,2004,0.614,0.637,0.834,0.0,0.317,-4.686,0.323,87.312,0.715,0,3,69,1,2004-01-01
63,4mmkhcEm1Ljy1U9nwtsxUo,Through The Wire,Kanye West,221.227,2/10/04,2004,0.00865,0.571,0.739,5.21e-06,0.158,-6.11,0.247,83.089,0.66,1,7,68,1,2004-01-01
64,3A4cpTBPaIQdtPFb5JxtaX,Slow Jamz,Kanye West,316.053,2/10/04,2004,0.314,0.559,0.733,0.0,0.284,-5.659,0.171,145.115,0.611,0,2,65,1,2004-01-01
65,1PS1QMdUqOal0ai3Gt7sDQ,Gold Digger,Kanye West,207.627,9/30/05,2005,0.0192,0.631,0.696,0.0,0.0554,-5.572,0.348,92.941,0.621,0,1,77,1,2005-01-01
66,2dxjKgT0li4qBI3QwuN9Ih,Touch The Sky,Kanye West,236.6,9/30/05,2005,0.0114,0.524,0.846,0.0,0.309,-4.912,0.347,98.385,0.551,1,9,67,1,2005-01-01
67,4fzsfWzRhPawzqhX8Qt9F3,Stronger,Kanye West,311.867,9/11/07,2007,0.00564,0.617,0.717,0.0,0.408,-7.858,0.153,103.992,0.49,0,10,80,1,2007-01-01
68,31I3Rt1bPa2LrE74DdNizO,Flashing Lights,Kanye West,237.507,9/11/07,2007,0.0381,0.639,0.628,0.0,0.386,-7.578,0.0399,90.482,0.43,0,6,73,1,2007-01-01
69,14blxrgE0VWAgv5aF2wWmx,Good Life,Kanye West,207.0,9/11/07,2007,0.00305,0.439,0.808,0.0,0.439,-6.881,0.346,82.962,0.487,1,1,70,1,2007-01-01
70,2MIBAmYwiuGoKUlpq9B9sZ,Can't Tell Me Nothing,Kanye West,271.6,9/11/07,2007,0.0122,0.596,0.62,0.0,0.82,-6.133,0.039,80.029,0.102,0,5,71,1,2007-01-01
71,2ovQ5MCx91XVjgVWEPfvks,Homecoming,Kanye West,203.493,9/11/07,2007,0.337,0.667,0.747,0.0,0.115,-7.059,0.189,86.917,0.918,1,1,70,1,2007-01-01
72,5CaXxLM568tBh1PwhXdciZ,Good Morning,Kanye West,195.093,9/11/07,2007,0.0791,0.48,0.631,0.000105,0.149,-5.488,0.116,84.164,0.515,1,7,69,1,2007-01-01
73,4jQqM4NI79HEcWHUJb8Hvf,I Wonder,Kanye West,243.44,9/11/07,2007,0.141,0.542,0.466,0.000445,0.125,-8.665,0.0831,191.385,0.124,1,0,67,1,2007-01-01
74,2aHlRZIGUFThu3eQePm6yI,Champion,Kanye West,167.6,9/11/07,2007,0.00299,0.693,0.504,0.0,0.695,-8.306,0.238,102.139,0.723,1,6,64,1,2007-01-01
75,4EWCNWgDS8707fNSZ1oaA5,Heartless,Kanye West,211.0,1/1/08,2008,0.0515,0.79,0.647,0.0,0.248,-5.983,0.136,87.999,0.654,0,10,76,0,2008-01-01
76,22UDw8rSfLbUsaAGTXQ4Z8,American Boy,Kanye West,284.733,3/28/08,2008,0.171,0.727,0.729,0.0,0.07,-2.99,0.326,117.932,0.512,1,0,78,1,2008-01-01
77,5dANgSy7v091dhiPnEXNrf,Put On,Kanye West,321.293,1/1/08,2008,0.00342,0.654,0.77,0.0,0.0887,-6.091,0.0353,137.616,0.272,0,9,68,1,2008-01-01
78,1kxeWHF9PrCVZHvVskv8lg,Love Lockdown,Kanye West,270.307,1/1/08,2008,0.0542,0.76,0.524,0.5,0.112,-7.67,0.0323,119.603,0.112,0,1,67,0,2008-01-01
79,0m3Ze0cy8qBHSsV2exAfCw,Amazing,Kanye West,238.333,1/1/08,2008,0.216,0.588,0.554,0.118,0.0619,-8.406,0.0545,146.133,0.496,1,8,65,0,2008-01-01
80,6HSqyfGnsHYw9MmIpa9zlZ,Forever,Kanye West,357.347,1/1/09,2009,0.253,0.415,0.926,0.0,0.256,-1.304,0.374,158.423,0.542,0,5,66,1,2009-01-01
81,58FUwmyGUqkt53YPUcm7cJ,Knock You Down,Kanye West,326.187,1/1/09,2009,0.00952,0.588,0.877,0.0,0.171,-4.78,0.16,155.165,0.645,1,8,66,0,2009-01-01
82,7LR85XLWw2yXqKBSI5brbG,Run This Town,Kanye West,267.52,9/8/09,2009,0.281,0.632,0.924,0.0,0.263,-1.802,0.29,86.844,0.441,1,1,70,1,2009-01-01
83,5UsLjwBaTHBX4ektWIr4XX,Forever,Kanye West,357.707,5/15/09,2009,0.249,0.457,0.906,0.0,0.182,-2.278,0.342,104.02,0.54,0,5,68,1,2009-01-01
84,2gZUPNdnz5Y45eiGxpHGSc,POWER,Kanye West,292.093,11/22/10,2010,0.0162,0.543,0.915,0.0,0.744,-4.746,0.113,153.998,0.577,0,0,78,1,2010-01-01
85,22L7bfCiAkJo5xGSQgmiIO,All Of The Lights,Kanye West,299.613,11/22/10,2010,0.0796,0.541,0.803,1.71e-05,0.176,-3.284,0.0738,142.135,0.221,1,1,75,1,2010-01-01
86,3DK6m7It6Pw857FcQftMds,Runaway,Kanye West,547.733,11/22/10,2010,0.218,0.571,0.568,0.0021,0.512,-3.827,0.0703,86.986,0.109,0,1,72,1,2010-01-01
87,6XkuklKiHYVTlVvWlTgQYP,Erase Me - Main,Kanye West,192.253,1/1/10,2010,0.063,0.687,0.631,0.0,0.108,-5.612,0.129,186.071,0.853,1,9,70,1,2010-01-01
88,1ZHYJ2Wwgxes4m8Ba88PeK,Monster,Kanye West,378.893,11/22/10,2010,0.00244,0.628,0.692,0.013,0.668,-5.64,0.202,124.791,0.0964,1,2,71,1,2010-01-01
89,1UGD3lW3tDmgZfAVDh6w7r,Devil In A New Dress,Kanye West,351.947,11/22/10,2010,0.0175,0.433,0.76,0.0,0.158,-4.935,0.0726,79.789,0.205,0,8,68,1,2010-01-01
90,23SZWX2IaDnxmhFsSLvkG2,Gorgeous,Kanye West,357.653,11/22/10,2010,0.0207,0.603,0.713,0.000179,0.431,-3.625,0.0317,91.953,0.12,0,1,67,1,2010-01-01
91,4Li2WHPkuyCdtmokzW2007,Ni**as In Paris,Kanye West,219.333,8/8/11,2011,0.127,0.788,0.859,0.0,0.348,-5.542,0.315,140.027,0.769,1,1,78,1,2011-01-01
92,3Osd3Yf8K73aj4ySn6LrvK,No Church In The Wild,Kanye West,272.507,8/8/11,2011,0.246,0.654,0.751,0.0179,0.167,-7.508,0.105,92.781,0.568,0,8,70,1,2011-01-01
93,4qikXelSRKvoCqFcHLB2H2,Mercy,Kanye West,329.32,1/1/12,2012,0.0679,0.563,0.496,5.61e-05,0.173,-9.381,0.405,140.001,0.424,0,6,71,1,2012-01-01
94,722tgOgdIbNe3BEyLnejw4,Black Skinhead,Kanye West,188.013,1/1/13,2013,0.00112,0.766,0.821,0.0,0.168,-6.124,0.268,130.073,0.299,1,1,74,1,2013-01-01
95,3sNVsP50132BTNlImLx70i,Bound 2,Kanye West,229.147,1/1/13,2013,0.145,0.365,0.666,0.0,0.113,-2.821,0.0471,149.445,0.311,1,1,70,1,2013-01-01
96,78TTtXnFQPzwqlbtbwqN0y,FourFiveSeconds,Kanye West,188.238,1/24/15,2015,0.875,0.582,0.272,0.0,0.13,-5.662,0.0501,205.846,0.354,1,2,79,0,2015-01-01
97,4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,Kanye West,135.92,6/10/16,2016,0.118,0.724,0.573,0.0,0.538,-4.113,0.0549,113.088,0.438,1,7,74,1,2016-01-01
98,3nAq2hCr1oWsIU54tS98pL,Waves,Kanye West,181.573,6/10/16,2016,0.0528,0.557,0.586,7.33e-06,0.339,-4.57,0.0382,96.091,0.0681,1,10,72,1,2016-01-01
99,1Vp4St7JcXaUoJcIahtf3L,The New Workout Plan,Kanye West,322.8,2/10/04,2004,0.00981,0.704,0.792,0.0,0.365,-4.831,0.198,118.022,0.646,1,2,60,1,2004-01-01
100,1ko2NuvWlQdxtNRc8QQzmT,Spaceship,Kanye West,324.227,2/10/04,2004,0.503,0.507,0.753,0.0,0.573,-5.31,0.19,178.068,0.657,0,5,59,1,2004-01-01
101,0IW0qaeyxL5Et4UG2MrJKB,We Don't Care,Kanye West,239.88,2/10/04,2004,0.0142,0.595,0.754,0.0,0.247,-5.827,0.181,83.155,0.647,0,11,59,1,2004-01-01
102,1boHm9rjmvzxpJASd9dnGK,Slow Jamz (feat. Kanye West & Jamie Foxx),Kanye West,212.147,1/27/04,2004,0.373,0.561,0.764,0.0,0.157,-6.645,0.138,145.158,0.598,0,2,60,1,2004-01-01
103,6yIjtVtnOBeC8SwdVHzAuF,Heard 'Em Say,Kanye West,203.733,9/30/05,2005,0.0535,0.727,0.696,0.0454,0.128,-8.313,0.165,95.067,0.559,0,7,62,1,2005-01-01
104,46OFHBw45fNi7QNjSetITR,Hey Mama,Kanye West,305.067,9/30/05,2005,0.0596,0.625,0.754,0.0,0.113,-6.993,0.189,96.186,0.357,1,7,61,1,2005-01-01
105,2T8bL4YC49Ska1yl74qcS0,Everything I Am,Kanye West,227.893,9/11/07,2007,0.463,0.631,0.623,1.7e-06,0.151,-6.969,0.265,80.23,0.765,1,8,63,1,2007-01-01
106,0w2piYWj1F2bzUftzGJgK9,Paranoid,Kanye West,277.907,1/1/08,2008,0.114,0.587,0.611,9.83e-05,0.0765,-7.408,0.106,114.991,0.464,1,6,60,0,2008-01-01
107,7yNK27ZTpHew0c55VvIJgm,Dark Fantasy,Kanye West,280.787,11/22/10,2010,0.274,0.59,0.587,0.0,0.167,-5.919,0.0457,88.015,0.367,1,5,66,1,2010-01-01
108,6vegnfDS8DAEaCqWaPYGPy,Otis,Kanye West,178.213,8/8/11,2011,0.552,0.755,0.631,0.0,0.5,-4.751,0.302,94.571,0.433,0,7,66,1,2011-01-01
109,3rbNV2GI8Vtd8byhUtXZID,Clique,Kanye West,293.533,9/6/12,2012,0.0488,0.704,0.569,0.0,0.191,-4.998,0.247,109.314,0.313,0,7,64,1,2012-01-01
